,Manga Name,Link,Overview,ID
0,Domestic Girlfriend,https://www.crunchyroll.com/comics/manga/domestic-girlfriend/volumes,"High schooler Natsuo is hopelessly in love with his cheerful and popular teacher, Hina. However, one day at a mixer, he meets a moody girl by the name of Rui and ends up sleeping with her. Soon after, his father announces that he's getting remarried to a woman with two daughters of her own. And who shows up in tow, other than both Hina and Rui?! Natsuo's outrageous new life starts now!",1000
1,The Seven Deadly Sins,https://www.crunchyroll.com/comics/manga/the-seven-deadly-sins/volumes,"When they were accused of trying to overthrow the monarchy, the feared warriors the Seven Deadly Sins were sent into exile. Princess Elizabeth discovers the truth—the Sins were framed by the king's guard, the Holy Knights—too late to prevent them from assassinating her father and seizing the throne! Now the princess is on the run, seeking the Sins to help her reclaim the kingdom. But the first Sin she meets, Meliodas, is a little innkeeper with a talking pig. He doesn't even have a real sword!                          
                 Have the legends of the Sins' strength been exaggerated … ? Prepare to get swept away by an epic fantasy story and colorful cast of characters that will rewrite the history of manga as we know it              
...

more",1001
2,Attack on Titan,https://www.crunchyroll.com/comics/manga/attack-on-titan/volumes,"A century ago, the grotesque giants known as Titans appeared and consumed all but a few thousand humans. The survivors took refuge behind giant walls. Today, the threat of the Titans is a distant memory, and a boy named Eren yearns to explore the world beyond Wall Maria. But what began as a childish dream will become an all-too-real nightmare when the Titans return and humanity is once again on the brink of extinction …",1002
3,EDENS ZERO,https://www.crunchyroll.com/comics/manga/edens-zero/volumes,"Eleven months after the grand finale of Fairy Tail, master mangaka Hiro Mashima is back with a great adventure beyond imagination! All the steadfast friendship, crazy fighting, and blue cats you've come to expect... IN SPACE!

A young boy gazes up at the sky and sees a streaming bolt of light. The friendly, armor-clad being at his side tells him gently, ""That's a dragon."" The fact that he's joking isn't important. What's important is the look of wonder on the boy's face... and the                          
                 galaxy-spanning adventure that's about to take place! Join Hiro Mashima (Fairy Tail, Rave Master) once more as he takes to the stars for another thrilling saga              
...

more",1003
4,One Room of Happiness,https://www.crunchyroll.com/comics/manga/one-room-of-happiness/volumes,"That day, she was abducted. But to her, that abduction was a ray of hope -- the beginning of a new life. The girl promises to marry her abductor, and the abductor offers plenty of ""happiness."" This is the story of an abductor and his victim... How could it be so warm?",1004
5,Inside Mari,https://www.crunchyroll.com/comics/manga/inside-mari/volumes,"A young man is a shut-in, with nothing to do but kill time. The sole pleasure in his life is following home an angelic high school girl he sees every day in a convenience store. Today, like any other day, he follows her, but… Shuzo Oshimi, the creator of Drifting Net Café and Flowers of Evil, continues to open hidden doors of the heart in this monthly serialized story!",1005
6,Tales of Wedding Rings,https://www.crunchyroll.com/comics/manga/tales-of-wedding-rings/volumes,"Kekkon Yubiwa Monogatari - A high school girl becomes a newly-wed in another world.
When Sato's childhood friend Hime suddenly said good-bye, he chased after her and found himself in a fantasy world!! There Sato married Hime and became the legendary hero, the Ring King!! Dusk Maiden of Amnesia's Maybe brings you an Out-of-this-world newly-wed romantic comedy!!",1006
7,Knight's & Magic,https://www.crunchyroll.com/comics/manga/knights-magic/volumes,"A genius programmer and hardcore robot otaku is reborn into a world of knights and magic, where huge robots called Silhouette Knights roar across the land! Now reborn as Ernesti Echavarría, he uses his vast knowledge of machines and programming talents to begin to make his ultimate robot.  But his actions have unexpected results...?! The dreams of a robot otaku will change the world!",1007
8,Fairy Tail,https://www.crunchyroll.com/comics/manga/fairy-tail/volumes,"Cute girl wizard Lucy wants to join the Fairy Tail, a club for the most powerful wizards. But instead her ambitions land her in the clutches of a gang of unsavory pirates led by a devious magician. Her only hope is Natsu, a strange boy she happens to meet on her travels. Natsu’s not your typical hero—he gets motion sickness, eats like a pig, and his best friend is a talking cat. With friends like this, is Lucy better off with her enemies?",1008
9,The Rising of the Shield Hero: The Manga Companion,https://www.crunchyroll.com/comics/manga/the-rising-of-the-shield-hero-the-manga-companion/volumes,"Naofumi Iwatani, an uncharismatic otaku who spends his days on games and manga, suddenly finds himself summoned to a parallel universe! He discovers he is one of four heroes equipped with legendary weapons and tasked with saving the world from its prophesied destruction. As the Shield Hero, the weakest of the heroes, all is not as it seems. Naofumi is soon alone, penniless, and betrayed. With no one to turn to, and nowhere to run, he is left with only his shield. Now, Naofumi must rise to become                          
                 the legendary Shield Hero and save the world              
...

more",1009
10,Sun-Ken Rock,https://www.crunchyroll.com/comics/manga/sun-ken-rock/volumes,"Ken left Japan, pursuing the woman he loves to Korea. However, while she became a policewoman, Ken somehow wound up in a gang, even becoming their boss! The man who came from Japan now rises in Korea. It's Korean ""Rock-Action"" with a powerful punch!",1010
11,Grand Blue Dreaming,https://www.crunchyroll.com/comics/manga/grand-blue-dreaming/volumes,"After moving out on his own to a seaside town, Iori Kitahara makes a college debut he never anticipated. A new chapter of his life unfolds, full of diving with beautiful girls and shenanigans with a gaggle of lovable bastards! Idiot-expert Kenji Inoue and au naturel authority Kimitake Yoshioka bring you a glorious college tale filled with booze-fueled antics!",1011
12,Is this Girl for Real!?,https://www.crunchyroll.com/comics/manga/is-this-girl-for-real/volumes,"Jun Yoshikawa is a boy with a manga artist for a mom. One night, he gets in a situation with a drunk stranger, Narumi Kawase, and decides to look after her. She becomes a live-in assistant at the Yoshikawa household as Jun takes care of her. This is an age-gap comedy about a pre-thirties, unfortunate beauty with no skills nor a job, and a perfect high schooler who helps out his mom and does the household chores as they live together.",1012
13,Honkai Impact 3rd,https://www.crunchyroll.com/comics/manga/honkai-impact-3rd/volumes,"2013: The 3rd Honkai War started in eastern Nagazora.
3 young girls survived the incident. 
After being rescued by the Schicksal Far East Branch,
these girls were found to hold immense powers that may
very well help the human race survive the Honkai onslaught.
This is their story.",1013
14,"Lofty Flower, fall for me!!",https://www.crunchyroll.com/comics/manga/lofty-flower-fall-for-me/volumes,Not Available,1014
15,Talentless Nana,https://www.crunchyroll.com/comics/manga/talentless-nana/volumes,"An academy on an island in unnavigable waters. There, students trained tirelessly, to fight back against the enemies of humanity. The protagonist, a student newly transferred there, also sets out with the intention of eradicating all enemies of humankind. An unpredictable, intellectual suspense story of justice and evil.",1015
16,YanOta: The Delinquent and the Otaku,https://www.crunchyroll.com/comics/manga/yanota-the-delinquent-and-the-otaku/volumes,"Saeki Kazuko is your average adult otaku who also happens to dislike men and delinquents. Yet her neighbor, Aikawa Ryuou, is a delinquent grade schooler who won't leave her alone! Her peaceful otaku days are in danger, but is there a reason for it?",1016
17,Scum's wish,https://www.crunchyroll.com/comics/manga/scums-wish/volumes,Kuzu no Honkai - We are the scum of humanity... Hanabi and Mugi are bathed in envious gazes from all around as a beautiful couple with excellent moral conduct. But these two apparently perfect people in an apparently perfect relationship share a secret they can't tell anyone.,1017
18,The Daily Life of Crunchyroll-Hime,https://www.crunchyroll.com/comics/manga/the-daily-life-of-crunchyroll-hime/volumes,A bi-monthly Japanese style yonkoma comedy manga series written and illustrated by KATA which chronicles the everyday life and adventures of Crunchyroll's original character and mascot Crunchyroll-Hime.,1018
19,Bokura wa Minna Kawaisou,https://www.crunchyroll.com/comics/manga/bokura-wa-minna-kawaisou/volumes,"The manga that spawned the anime ""The Kawai Complex Guide to Manors and Hostel Behavior"". When Usa-kun's parents move for work, he begins living on his own. However, his new residence is full of eccentrics and perverts, but his crush, Ritsu-senpai, lives there as well…! An adolescent comedy with a 3:7 love to comedy ratio!",1019
20,Genshin Impact,https://www.crunchyroll.com/comics/manga/genshin-impact/volumes,"Aeons ago, the elder elemental gods granted civilization to the human race, but the world soon splintered as corruption and greed grew without check.
Can the forces holding this world together be balanced against human desires, or is everything ultimately doomed to end in destruction?

http://genshin.mihoyo.com/",1020
21,Arpeggio of Blue Steel,https://www.crunchyroll.com/comics/manga/arpeggio-of-blue-steel/volumes,"A mysterious fleet equipped with superweapons, ""The Fleet of Fog"", appears out of nowhere all over the world.  Humanity is helpless against them, and is driven from the oceans.  Seventeen years later, Gunzou Chihaya and his friends fight against the Fleet of Fog with the Fog submarine I401, along with the ship's ""Mental Model"", a human-like personality named Iona.  The ultimate SF naval adventure!",1021
22,UQ HOLDER!,https://www.crunchyroll.com/comics/manga/uq-holder/volumes,"Negi Springfield, the boy wizard of the hit manga Negima!, fought and won many battles. Now it is decades later and Negi's grandson(!), a little boy name Touta, dreams of leaving his quiet village and heading to the City. But first he must defeat his teacher … the immortal vampire, Evangeline! Witness the dramatic beginning of a futuristic battle fantasy—the newest series by Ken Akamatsu, creator of Love Hina and Negima!",1022
23,Crossing Time,https://www.crunchyroll.com/comics/manga/crossing-time/volumes,"This is a collection of slice-of-life omnibus shorts about various girls and what happens to them at railroad crossings. Various dramatic pieces that occur while you hear “Clank, clank, clank” in the background. The bittersweet conversations that high school girls have, strange tales of the occult discussed by grade schoolers, or a boy being head over heels over a sexy girl... A series that’s all railroad crossings all the time that’ll be filled with situations that railroad crossing fans can’t                          
                 resist              
...

more",1023
24,The Morose Mononokean,https://www.crunchyroll.com/comics/manga/the-morose-mononokean/volumes,"Fukigen na Mononokean - The duty of the morose guide who leads mononoke from one world to the next. Ashiya has spent the first seven days of high school stuck in the infirmary because of a youkai attaching itself to him. He ends up asking the owner of a small tea room called the ""Mononokean"" for help. This is volume 1 of the mysterious stories involving the very morose owner of Mononokean guiding the youkai that happened to wander into this world go to the next world.",1024
25,Love Theory,https://www.crunchyroll.com/comics/manga/love-theory/volumes,"Even if I'm hideous.  Even if I'm broke.  Even if there's not one iota of sexiness to me.  There HAS to be a way for me to snag my ideal woman. Masaki Satou (author of ""The Ultra-Apathetic Spec Ops Squad JAP FIVE!"") and Keiya Mizuno (head writer of ""My Dreams will come TRUUUUUE!"") come together for a hilarious, risque collaboration that just might help YOU find true love too!",1025
26,Restaurant to Another World,https://www.crunchyroll.com/comics/manga/restaurant-to-another-world/volumes,"There is a certain restaurant in one corner of a shopping street near the office district. The historical restaurant, marked by a sign with a picture of a cat, is called ""Western Cuisine Nekoya."" This restaurant looks completely normal through the week, but on Saturdays, it opens in secret exclusively to some very unique guests. During these hours, doors in various areas of a parallel world open to allow customers of many different races and cultures into the restaurant. This                          
                 &quot;Restaurant to Another World&quot; and its food hold an exotic charm to these highly diverse customers. This is a story of the heartwarming, once-in-a-lifetime encounters between our reality and another world, between the restaurant's customers and its owner, and the food shared among them all              
...

more",1026
27,Ajin : Demi-Human,https://www.crunchyroll.com/comics/manga/ajin-demi-human/volumes,"Say you get hit by a truck and die. You come back to life. Good or bad? For high schooler Kei—and for at least forty-six others—immortality comes as the nastiest surprise ever. Sadly for Kei, but refreshingly for the reader, such a feat doesn’t make him a superhero. In the eyes of both the general public and governments, he’s a rare specimen who needs to be hunted down and handed over to scientists to be experimented on for life—a demi-human who must die a thousand deaths for the benefit of                          
                 humanity              
...

more",1027
28,To Your Eternity,https://www.crunchyroll.com/comics/manga/to-your-eternity/volumes,"A new manga from the creator of the acclaimed A Silent Voice, featuring intimate, emotional drama and an epic story spanning time and space, To Your Eternity is a totally unique and moving manga about death, life, reincarnation, and the nature of love. A lonely boy wandering the Arctic regions of North America meets a wolf, and the two become fast friends, depending on each other to survive the harsh environment. But the boy has a history, and the wolf is more than meets the eye as well …",1028
29,Arakawa Under the Bridge,https://www.crunchyroll.com/comics/manga/arakawa-under-the-bridge/volumes,"You'll laugh. You'll cry.
A charming, wistful, humanist tale of the strange people who live on the banks of the Arakawa touching the soul of a young man.",1029
30,Holmes of Kyoto,https://www.crunchyroll.com/comics/manga/holmes-of-kyoto/volumes,"The antique shop Kura can be found on Kyoto's Teramachi Sanjo shopping street. High school girl Mashiro Aoi ends up with a part-time job at Kura after a chance meeting the owner's grandson, Yagashira Kiyotaka. Together, she and Kiyotaka--the keen-minded ""Holmes of Kyoto""--end up taking all kinds of strange requests that come to the shop! The popular novel and winner of the 4th Kyoto Book Grand Prix, is getting its long-awaited comic adaptation!",1030
31,The Grim Reaper and an Argent Cavalier,https://www.crunchyroll.com/comics/manga/the-grim-reaper-and-an-argent-cavalier/volumes,"In a world where humans live at the mercy of the Grim Reaper and the Larvae, his soul-devouring monsters, one young man sets foot on a thorny path to protect everything he holds dear—even if it means falling into darkness himself...",1031
32,Silver Nina,https://www.crunchyroll.com/comics/manga/silver-nina/volumes,"Shimazaki Shutaro goes back home to the country, after losing his job in Tokyo.  To his surprise, when he opens the door to his family home, he finds a beautiful little girl with silver hair and blue eyes.  Taking place in a city on a plateau, a tired young man and a beautiful half Japanese girl bring you a story of the slow, calming life in the country!!",1032
33,Space Brothers,https://www.crunchyroll.com/comics/manga/space-brothers/volumes,"Two brothers looked to the starry skies as children and made a promise … Now, in the year 2025, the younger brother, Hibito, is carrying his out. He is an astronaut who has been selected as a crew member for mankind’s first long-term base on the moon. Meanwhile, the older brother, Mutta, has just been fired from his job and is unemployed, but decides to trust himself just one last time. A text message from Hibito sends him applying to be an astronaut too and shooting for the stars … The official                          
                 Space Brothers manga is ready to launch              
...

more",1033
34,Father and Son,https://www.crunchyroll.com/comics/manga/father-and-son/volumes,"Chichi to Ko - Welcome to the bumpy, yet easygoing slice-of-life comedy of a certain father and son.
The unpredictable and wild son, Shou. And the former gangster, hands-on father who looks out for him, You-san. Follow the lively father and son pair, as their everyday life is sure to eventful. Won’t you take a peek at this slice-of-life, slapstick but easygoing father and son comedy?",1034
35,Aizawa-san Multiplies,https://www.crunchyroll.com/comics/manga/aizawa-san-multiplies/volumes,"Aizawasan Zoushoku - My cute girlfriend has multiplied!
Expressionless and mysterious, Shino Aizawa is the fragile beauty in the class. She suddenly confesses her love to the main character, Souta Mizutani, but another Shino Aizawa appears thereafter… Twins…!? Or a doppelganger!? A fantasy romantic comedy by Seiichi Shiki, the creator of “Fujimura-kun Mates” begins here!!",1035
36,APOSIMZ,https://www.crunchyroll.com/comics/manga/aposimz/volumes,"With APOSIMZ, science-fiction manga master Tsutomu Nihei (Knights of Sidonia, BLAME!) takes us into at-once familiar and disorienting territory: a towering “City” built upon the ruins of a mysterious device from the distant past, a “Country of Dolls” of people afflicted with a disease that slowly turns them into machines.",1036
37,Joshi Kausei,https://www.crunchyroll.com/comics/manga/joshi-kausei/volumes,"Who needs dialog when you're this cute?  The beautiful (but unlucky) Momoko, the cool, collected Shibumi, and the refreshingly innocent Mayumi star in a ""silent manga."" No speeches, no dialog!  Just pictures, sound effects, and three high school girls living their daily lives.",1037
38,Devils' Line,https://www.crunchyroll.com/comics/manga/devils-line/volumes,"Tsukasa, a college student, is rescued from an attack by a devil, one of many vampires that can blend in among the human population. Anzai, her savior, is a half-devil who exploits his supernatural gifts as a member of a shadowy police task force that specializes in devil-related crime in Tokyo. As Anzai continues to keep guard over Tsukasa, the two quickly forge a tentative bond—one that Anzai fears will test his iron-clad rule of never drinking human blood …",1038
39,Okitenemuru,https://www.crunchyroll.com/comics/manga/okitenemuru/volumes,"Kanata and his friend Tokiji are ordinary teenagers in modern Japan.  Mysterious deaths have begun to occur in their city, where the victim's head will transform into an animal face and explode. There are rumors about these strange incidents, but one day it happens at Kanata's school.  Kanata is caught up in the incident and gains the special ability to ""remove his limiter"".  This allows him to greatly enhance a single ability of his, but after he uses it, another ability will go out                          
                 of control.  He encounters a mysterious, beautiful woman in a black skin-tight combat suit named Shiki.  She forces Kanata and Tokiji to become deeply involved in these incidents.  Just what is going on?  What mysterious organization is behind this!?  A world-spanning conspiracy begins to unfold              
...

more",1039
40,Girl May Kill,https://www.crunchyroll.com/comics/manga/girl-may-kill/volumes,"A port town where the Mafia actively operates behind the scenes. Gohongi is a young man who has come back to this to place where he was born after many years and finds a job working at a video rental store, which also becomes his new home.  It is here that he begins to live with a young girl named Mei and a homosexual by the name of Katsura.  But both of them are members of the Mafia group, Lovely Town.  And fifteen-year-old-Mei is a ruthless hitman.  There have been rumors that the struggles                          
                 between Mafia factions are becoming more intense.  Still not able to completely grasp the situation, Gohongi winds up getting dragged into a world of trouble..              
...

more",1040
41,Our Precious Conversations,https://www.crunchyroll.com/comics/manga/our-precious-conversations/volumes,"The new shojo manga from Robico, the hit creator of My Little Monster! Nozomi Aizawa has has kept her feelings for her schoolmate Azuma-kun a secret for quite a while, but the time has come for her to finally confess. His response, though, is far from ordinary! Led in circles by his hilarious tangents, these two awkward teenagers find themselves growing ever closer while muddling through misunderstandings and off-topic rants. When the airheaded stalker Aizawa-san finally connects with the                          
                 petulant know-it-all Azuma-kun, the result is a romantic comedy worth talking about              
...

more",1041
42,King's Game: Origin,https://www.crunchyroll.com/comics/manga/kings-game-origin/volumes,"""The King's orders are absolute.  Fail to obey, and you will be punished."" 
30 years ago in the remote Yonaki Village, a black envelope is delivered to a single villager.  The command inside threatens to draw the entire population into a terrible tragedy! 
Take a deep breath, steady your heart, and prepare for a shocking, terrifying survival horror adventure!  The latest chapter in the wildly popular ""King's Game: Origin"" saga has begun.  It all starts here!",1042
43,Spirit Circle,https://www.crunchyroll.com/comics/manga/spirit-circle/volumes,"Fuuta Okeya is a normal middle school 2nd grade student. It was supposed to be a peaceful middle school life, but is turned upside down by an appearance of a transfer student, Kouko Ishigami who has a big scar on her forehead. This is a metempsychosis spectacle story in grand scale!",1043
44,The Heroic Legend of Arslan,https://www.crunchyroll.com/comics/manga/the-heroic-legend-of-arslan/volumes,"Historical fantasy from Hiromu Arakawa, the creator of Fullmetal Alchemist! In the prosperous kingdom of Pars lies the Royal Capital of Ecbatana, a city of splendor and wonder, ruled by the undefeated and fearsome King Andragoras. Arslan is the young and curious prince of Pars who, despite his best efforts, doesn’t seem to have what it takes to be a proper king like his father. At the age of 14, Arslan goes to his first battle and loses everything as the blood-soaked mist of war gives way to                          
                 scorching flames, bringing him to face the demise of his once glorious kingdom. However, it is Arslan’s destiny to be a ruler, and despite the trials that face him, he must now embark on a journey to reclaim his fallen kingdom              
...

more",1044
45,Drifting Dragons,https://www.crunchyroll.com/comics/manga/drifting-dragons/volumes,"The draking vessel Quin Zaza soars through the skies, hunting dragons that hide in the clouds. A single big catch means full coffers and all the meat they can eat, while failure means an empty wallet and an even emptier stomach. Join us as we log the crew’s grand adventures, chasing dreams of the sky, dragons, and gourmet cooking!",1045
46,Orange,https://www.crunchyroll.com/comics/manga/orange/volumes,"""What can I do now to prevent a future without Kakeru?"" In the spring of my second year of high school, I received a letter from ""myself"", ten years in the future. It urged the 16-year-old me to take action so I wouldn't have the same regrets...",1046
47,Hoshi no Samidare: The Lucifer and Biscuit Hammer,https://www.crunchyroll.com/comics/manga/hoshi-no-samidare-the-lucifer-and-biscuit-hammer/volumes,"Asamiya Yuuhi was an ordinary college student... until the day a lizard showed up and asked him to help save the world. The next thing he knows, he's been given a ring and special powers, plus an enemy stalking him. However, he's saved in the nick of time by the girl next door, Samidare, who's planning... WHAT kinds of things?! This is an unconventional story that mixes ordinary life with the bizarre and supernatural!",1047
48,Final Fantasy Lost Stranger,https://www.crunchyroll.com/comics/manga/final-fantasy-lost-stranger/volumes,"Scoring a job at Square Enix, Sasaki Shogo's dream of producing a Final Fantasy game finally seems within his grasp! But after he starts, he quickly discovers that the work has nothing to do with his favorite franchise at all… Disillusioned, his enthusiasm for FF begins waning despite his sister / co-worker Yuko's attempts to lift his spirits. Their conversation is cut short, though, when a runaway truck suddenly careens toward the two of them…!
When Shogo comes to, the first thing he sees is…a                          
                 Moogle?! Wait, was that a Cure spell? And chocobos…?! Hurled into a Final Fantasy world unbound to any particular installment, how will an uber-fan like Shogo survive?              
...

more",1048
